Address__c,Assessed_Value__c,Baths__c,Beds__c,Broker__c,City__c,Date_Agreement__c,Date_Closed__c,Date_Contracted__c,Date_Listed__c,Date_Pre_Market__c,Description__c,Location__latitude__s,Location__longitude__s,Picture__c,Price__c,Price_Sold__c,State__c,Status__c,Tags__c,Thumbnail__c,Zip__c,id
Congress no.,772682.6,2,0,Broker__cRef10,Song movie clearly.,1972-03-19,2006-04-12,2008-06-07,2001-07-13,1993-11-23,Beat white result. Exist citizen civil. Them another agent into tough make account.,-80.0414325,14.366465,http://colon.net/,713239.4,584064.46,Help several wind.,Under Agreement,Game keep claim.,https://www.reynolds.info/,Piece.,82
Another line with.,270042.95,3,3,Broker__cRef10,Gas idea edge sea.,1979-09-03,1996-12-20,2006-10-12,1978-03-22,1979-05-17,About personal nation notice born enough understand. Respond media security model home.,-15.317441,53.470833,http://cook.com/,231329.57,724294.48,Walk professor keep.,Pre Market,Parent would build.,https://www.nichols.com/,Seven.,83
My rock call issue.,974619.86,0,3,Broker__cRef10,East writer.,1983-01-28,2012-12-10,1975-06-21,1995-07-25,1988-09-18,Resource guy central tree media newspaper. Woman tell girl have usually air. Pm or animal recent bad artist able. Save large provide school.,10.5687765,148.741779,https://ochoa.org/,271239.44,494968.82,Nothing compare.,Pre Market,Start must will.,https://mathews-blake.net/,Wrong.,84
Left young so night.,281906.97,3,4,Broker__cRef10,Address reach PM.,2012-02-28,2001-11-25,1989-11-03,1984-07-04,1970-03-28,Allow star thought respond fish choose. Evening indeed black where yard affect. Table church hand.,40.003685,-88.767337,http://oneill-escobar.net/,12424.23,60275.12,Performance drug.,Pre Market,Cultural still new.,https://www.olsen-parks.com/,Ball.,85
Manager chair land.,234923.33,0,1,Broker__cRef10,Increase read.,1989-05-14,2000-05-05,2023-02-08,2020-06-15,2010-03-01,Sit daughter suddenly compare campaign so. Play read always apply three treat relate.,-85.155477,-159.358022,http://stewart.com/,140338.13,626494.95,Turn security.,Available,Whole information.,https://mayo.org/,Well.,86
Be boy season.,580157.84,3,2,Broker__cRef10,End we yeah.,1997-09-21,1979-08-27,2017-04-27,1975-09-27,1986-01-22,Level leg home social join. Accept culture language stand wall.,31.548696,-63.807347,http://www.ponce.com/,641521.3,233308.2,Laugh school.,Under Agreement,As theory candidate.,http://www.moran-collier.com/,Write.,87
Every southern.,858801.5,3,5,Broker__cRef10,Part action state.,2002-03-08,2014-03-13,1991-01-06,2006-12-03,1972-05-18,Life there section budget. Design reason big. Memory main summer benefit.,-59.5884505,83.896819,https://dickson-wilkins.net/,938692.7,83732.74,Game according pass.,Under Agreement,Network than fund.,http://www.huber-jones.org/,Seem.,88
Air television much.,680965.26,0,0,Broker__cRef10,Much ok ball spring.,2007-04-23,1998-07-13,1976-10-13,1975-01-26,1983-03-06,Commercial here piece election. Company course ever better affect lay.,-75.477973,105.414246,http://travis.biz/,107839.88,735452.58,Difficult letter.,Closed,Enter remain still.,http://kirk.com/,Food.,89
Our career cut.,556852.27,3,5,Broker__cRef10,Likely fine always.,2022-11-09,1989-06-19,1995-09-24,2014-07-02,2005-02-20,So its final any yeah mind sister. Himself institution fly.,62.7395825,98.776942,http://www.cox-hansen.com/,405259.9,293325.33,Or firm for base.,Available,What war anyone.,https://hanson.org/,Rise.,90
Wear defense.,836338.37,0,2,Broker__cRef10,Under suddenly.,1973-12-20,2010-10-22,2022-05-05,2004-12-24,2020-09-02,My base final many certainly allow. Boy become nation feel suggest Mr thus. North base season generation must best now best.,42.1437575,-86.471232,http://www.benitez.com/,263315.45,43861.16,Voice policy behind.,Available,Model mind former.,http://carney-oliver.org/,Not.,91
Economic treatment.,221127.61,0,1,Broker__cRef10,Put wish tonight.,1974-07-12,2012-07-18,2018-04-30,1981-10-29,2018-08-28,Physical usually owner pick will thing tax action. Same enter choose think.,-39.0279705,-10.586152,http://chandler.biz/,320961.9,187370.96,Such organization.,Closed,Present cell.,https://www.gould.com/,Fact.,92
Feeling interesting.,984715.12,1,3,Broker__cRef10,Hour face site.,2016-03-09,2018-04-17,1977-07-14,1993-11-17,1988-11-12,Data explain audience same society. For clear industry parent chair.,39.780577,34.746437,https://hutchinson-booth.com/,179304.31,575869.12,Them general.,Available,Movement ability.,http://www.shaw.net/,Ahead.,93
Adult eight.,708230.32,0,0,Broker__cRef10,Force method born.,2007-02-27,1977-01-16,2011-04-16,2014-01-22,1976-06-16,Suffer top population man about. Agree message car condition nation.,-60.280210,68.772695,http://bean.com/,451674.0,341495.56,Everyone Republican.,Contracted,Clear movie hold.,https://guerrero-irwin.net/,Quite.,94
Company safe last.,239889.15,3,4,Broker__cRef10,Apply they whether.,1972-07-06,1974-07-12,1999-04-10,1983-01-04,2022-01-29,Body everyone knowledge until above. Property individual often recently.,-78.7026155,-39.681097,http://escobar-silva.com/,38532.0,961470.36,Mouth tax free work.,Pre Market,Beat girl poor.,http://stephens.info/,Those.,95
Instead present.,107079.5,0,3,Broker__cRef10,List son live view.,2004-04-12,1997-02-26,1975-04-13,1970-06-30,1977-02-18,Friend medical figure local admit price allow. Nor third room budget let democratic. Chair establish while pattern those sometimes claim quite.,-28.887806,74.856610,https://www.ellison.info/,627897.47,840602.78,Rather since.,Available,Those quality.,http://liu.com/,Price.,96
That industry.,58117.69,3,2,Broker__cRef10,Network hold.,2015-08-13,1988-09-06,2006-03-04,2016-06-25,1997-05-28,Fact whether nature environment return. Avoid challenge life stay decide security with.,67.613693,-38.682746,https://hess.info/,336492.7,876945.7,Rich he event run.,Contracted,Hear cultural scene.,http://www.kirby.com/,Close.,97
Record quickly more.,552068.78,2,5,Broker__cRef10,Relate box practice.,1980-09-06,1985-07-10,1975-05-24,2018-12-17,2013-12-05,Economy contain hot senior but how. Class east total thing kitchen building quality laugh. Some idea exactly ball wide hand.,-23.7560785,-74.362478,https://gallegos-fox.com/,683583.34,915964.9,North agent work.,Contracted,Program else dark.,http://macdonald.com/,She.,98
This someone world.,96250.98,2,3,Broker__cRef10,Second protect.,1991-08-30,1977-09-20,1977-06-03,2006-01-25,1987-06-20,Bit recognize participant author someone production forget.,67.957264,68.819104,http://www.dodson.com/,257672.98,157601.73,To tree realize.,Contracted,Media heavy dream.,http://www.moss.info/,Later.,99
Book describe.,661925.86,0,1,Broker__cRef10,Possible you know.,2023-02-04,2022-07-01,1978-12-20,1995-07-21,1979-09-28,Down hospital stand scientist. Every defense compare important.,-14.3981785,-120.267559,http://www.cox.com/,431758.3,541781.47,Continue religious.,Contracted,Bill among.,http://tyler.com/,Five.,100
